P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Ae_bicornis	Ae_caudata	Ae_comosa	42.884692706047	0.0	0.24584584339665042	93494351.5625	8918334.8125	6203721.875	1916038.0	2302017.0	6608355.25	1110794.0	860078.625	1373294.5625	21023321.3125	1552434.75	961740.75	1188842.75	1273118.375	94334.375
Ae_bicornis	Ae_caudata	Ae_longissima	12.491478440898824	0.0	0.30431682301904683	136647453.0625	16825886.9375	10068145.25	2584784.25	3452362.5	9529755.125	2301367.75	1427627.125	2425344.3125	30907387.1875	2867808.5	2014769.0	2088393.25	1744869.875	147085.875
Ae_bicornis	Ae_caudata	Ae_mutica	67.15266427867842	0.0	0.5770091392091402	191433607.6875	13795884.75	15180839.5	3217096.5625	3359853.25	14445129.375	2290347.0625	1400190.875	3554542.0625	42844911.125	2783900.625	3339741.625	2869071.375	2718739.0	190623.125
Ae_bicornis	Ae_caudata	Ae_searsii	67.9794987350616	0.0	0.4850046662868831	121555547.3125	29331709.0625	7577310.0	2919364.0	4357476.125	7734999.0625	2042582.0625	2161075.75	2868304.75	26950866.625	5013604.0	654938.625	1374008.5	1412630.0	159879.125
Ae_bicornis	Ae_sharonensis	Ae_caudata	30.972922073655166	0.0	0.5575244602061475	95123015.6875	7287268.5	7584181.0	1531971.3125	1879989.75	6473379.625	1320582.9375	1247767.75	1586934.8125	21617861.0	1573031.5	806373.375	1397817.375	1183678.125	84780.25
Ae_bicornis	Ae_caudata	Ae_speltoides	68.73626551207158	0.0	0.6002496752268327	186878433.0	17084883.375	14306364.4375	3228214.4375	3769836.75	13869861.0	2294684.0	1566100.625	3696437.3125	41442393.9375	3346346.375	3010408.5	2651104.625	2455701.375	197616.25
Ae_bicornis	Ae_caudata	Ae_tauschii	55.37622474285201	0.0	0.4207456584077656	189531082.3125	16245394.375	14200188.5	3412823.3125	3888208.0	13570632.375	2378928.3125	1738219.125	3129905.5625	42804003.875	2956208.625	2851779.0	2603846.0	2502262.125	187567.5
Ae_bicornis	Ae_caudata	Ae_umbellulata	75.54759468470999	0.0	0.5053291553548941	140539180.8125	13728024.25	10872558.875	2592583.6875	2747260.625	10532419.5625	1706412.25	1227445.375	2611677.375	31580664.0625	2511392.75	2397221.125	1978848.25	1945272.875	144726.125
Ae_bicornis	Ae_uniaristata	Ae_caudata	27.3858158332365	0.0	0.6974032396592303	195571911.1875	16144944.5	11077816.0	2591727.8125	2272499.0	11947052.75	2267814.8125	1806464.0	3014346.1875	44193871.125	3196569.0	2427859.125	2160887.375	2360132.375	158828.75
Ae_bicornis	Ae_caudata	S_vavilovii	47.907633195404344	0.0	0.7755537286384612	48060950.6875	3486426.75	4060727.0	746595.8125	748334.5	3665245.0	593129.1875	379432.625	1123419.1875	10519851.5	757648.125	942860.625	763109.125	696729.5	55023.375
Ae_bicornis	Ae_caudata	T_boeoticum	109.99192526817495	0.0	0.7921785059149666	80486634.25	121303567.0625	5815752.125	4686437.9375	8782308.875	6319085.1875	2946733.375	5549283.125	9578177.1875	17247112.875	18595524.625	668298.0	612064.875	836679.25	347290.25
Ae_bicornis	Ae_caudata	T_urartu	63.159754191274445	0.0	0.6679039022037886	193388527.9375	13668038.5	15595303.4375	3164876.5	3284921.875	14715759.5625	2339385.375	1489933.875	3999593.8125	42735966.0	3081106.0	3819166.75	2942055.0	2662853.25	205090.125
Ae_bicornis	Ae_caudata	Ta_caputMedusae	6.513793252209463	3.682021354478593e-11	0.9398083472918254	48229775.8125	3496195.25	4136846.0	688761.6875	691454.0	3516071.875	666679.6875	449752.625	1011459.1875	10758073.875	669146.625	924959.875	823392.875	627382.5	50735.125
