P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Ae_bicornis	Ae_caudata	Ae_comosa	42.884692706047	0.0	0.24584584339665042	93494351.5625	8918334.8125	6203721.875	1916038.0	2302017.0	6608355.25	1110794.0	860078.625	1373294.5625	21023321.3125	1552434.75	961740.75	1188842.75	1273118.375	94334.375
Ae_bicornis	Ae_comosa	Ae_caudata	-99999.9	1.0	-0.9366895144078152	93494351.5625	6203721.875	8918334.8125	1916038.0	2302017.0	6608355.25	1373294.5625	961740.75	1110794.0	21023321.3125	1188842.75	860078.625	1552434.75	1273118.375	94334.375
Ae_caudata	Ae_bicornis	Ae_comosa	-88.66794537025463	1.0	0.4026324151110644	93494351.5625	8918334.8125	6608355.25	1110794.0	860078.625	6203721.875	1916038.0	2302017.0	1373294.5625	21023321.3125	1552434.75	961740.75	1273118.375	1188842.75	94334.375
Ae_bicornis	Ae_caudata	Ae_longissima	12.491478440898824	0.0	0.30431682301904683	136647453.0625	16825886.9375	10068145.25	2584784.25	3452362.5	9529755.125	2301367.75	1427627.125	2425344.3125	30907387.1875	2867808.5	2014769.0	2088393.25	1744869.875	147085.875
Ae_bicornis	Ae_longissima	Ae_caudata	-99999.9	1.0	-3.495904225133678	136647453.0625	10068145.25	16825886.9375	2584784.25	3452362.5	9529755.125	2425344.3125	2014769.0	2301367.75	30907387.1875	2088393.25	1427627.125	2867808.5	1744869.875	147085.875
Ae_caudata	Ae_bicornis	Ae_longissima	-16.064653687260467	1.0	0.36002623875146894	136647453.0625	16825886.9375	9529755.125	2301367.75	1427627.125	10068145.25	2584784.25	3452362.5	2425344.3125	30907387.1875	2867808.5	2014769.0	1744869.875	2088393.25	147085.875
Ae_bicornis	Ae_caudata	Ae_mutica	67.15266427867842	0.0	0.5770091392091402	191433607.6875	13795884.75	15180839.5	3217096.5625	3359853.25	14445129.375	2290347.0625	1400190.875	3554542.0625	42844911.125	2783900.625	3339741.625	2869071.375	2718739.0	190623.125
Ae_bicornis	Ae_mutica	Ae_caudata	-24.451444941541155	1.0	0.7893125829423021	191433607.6875	15180839.5	13795884.75	3217096.5625	3359853.25	14445129.375	3554542.0625	3339741.625	2290347.0625	42844911.125	2869071.375	1400190.875	2783900.625	2718739.0	190623.125
Ae_caudata	Ae_bicornis	Ae_mutica	-17.924738172394914	1.0	-0.5726170193991555	191433607.6875	13795884.75	14445129.375	2290347.0625	1400190.875	15180839.5	3217096.5625	3359853.25	3554542.0625	42844911.125	2783900.625	3339741.625	2718739.0	2869071.375	190623.125
Ae_bicornis	Ae_caudata	Ae_searsii	67.9794987350616	0.0	0.4850046662868831	121555547.3125	29331709.0625	7577310.0	2919364.0	4357476.125	7734999.0625	2042582.0625	2161075.75	2868304.75	26950866.625	5013604.0	654938.625	1374008.5	1412630.0	159879.125
Ae_bicornis	Ae_searsii	Ae_caudata	-99999.9	1.0	1.0659115269009969	121555547.3125	7577310.0	29331709.0625	2919364.0	4357476.125	7734999.0625	2868304.75	654938.625	2042582.0625	26950866.625	1374008.5	2161075.75	5013604.0	1412630.0	159879.125
Ae_caudata	Ae_bicornis	Ae_searsii	-4.203568914034727	0.9999868547854796	0.05503016107484451	121555547.3125	29331709.0625	7734999.0625	2042582.0625	2161075.75	7577310.0	2919364.0	4357476.125	2868304.75	26950866.625	5013604.0	654938.625	1412630.0	1374008.5	159879.125
Ae_bicornis	Ae_caudata	Ae_sharonensis	-8.053329339398864	0.9999999999999996	0.8289422035904755	95123015.6875	7584181.0	7287268.5	1531971.3125	1879989.75	6473379.625	1586934.8125	806373.375	1320582.9375	21617861.0	1397817.375	1247767.75	1573031.5	1183678.125	84780.25
Ae_bicornis	Ae_sharonensis	Ae_caudata	30.972922073655166	0.0	0.5575244602061475	95123015.6875	7287268.5	7584181.0	1531971.3125	1879989.75	6473379.625	1320582.9375	1247767.75	1586934.8125	21617861.0	1573031.5	806373.375	1397817.375	1183678.125	84780.25
Ae_caudata	Ae_bicornis	Ae_sharonensis	-99999.9	1.0	1.351373143178155	95123015.6875	7584181.0	6473379.625	1586934.8125	806373.375	7287268.5	1531971.3125	1879989.75	1320582.9375	21617861.0	1397817.375	1247767.75	1183678.125	1573031.5	84780.25
Ae_bicornis	Ae_caudata	Ae_speltoides	68.73626551207158	0.0	0.6002496752268327	186878433.0	17084883.375	14306364.4375	3228214.4375	3769836.75	13869861.0	2294684.0	1566100.625	3696437.3125	41442393.9375	3346346.375	3010408.5	2651104.625	2455701.375	197616.25
Ae_bicornis	Ae_speltoides	Ae_caudata	-34.47546064059157	1.0	0.749610247376479	186878433.0	14306364.4375	17084883.375	3228214.4375	3769836.75	13869861.0	3696437.3125	3010408.5	2294684.0	41442393.9375	2651104.625	1566100.625	3346346.375	2455701.375	197616.25
Ae_caudata	Ae_bicornis	Ae_speltoides	-22.959740182404946	1.0	-1.0062653451930519	186878433.0	17084883.375	13869861.0	2294684.0	1566100.625	14306364.4375	3228214.4375	3769836.75	3696437.3125	41442393.9375	3346346.375	3010408.5	2455701.375	2651104.625	197616.25
Ae_bicornis	Ae_caudata	Ae_tauschii	55.37622474285201	0.0	0.4207456584077656	189531082.3125	16245394.375	14200188.5	3412823.3125	3888208.0	13570632.375	2378928.3125	1738219.125	3129905.5625	42804003.875	2956208.625	2851779.0	2603846.0	2502262.125	187567.5
Ae_bicornis	Ae_tauschii	Ae_caudata	-99999.9	1.0	1.6044482592490912	189531082.3125	14200188.5	16245394.375	3412823.3125	3888208.0	13570632.375	3129905.5625	2851779.0	2378928.3125	42804003.875	2603846.0	1738219.125	2956208.625	2502262.125	187567.5
Ae_caudata	Ae_bicornis	Ae_tauschii	-20.86203930643971	1.0	0.21485040299009867	189531082.3125	16245394.375	13570632.375	2378928.3125	1738219.125	14200188.5	3412823.3125	3888208.0	3129905.5625	42804003.875	2956208.625	2851779.0	2502262.125	2603846.0	187567.5
Ae_bicornis	Ae_caudata	Ae_umbellulata	75.54759468470999	0.0	0.5053291553548941	140539180.8125	13728024.25	10872558.875	2592583.6875	2747260.625	10532419.5625	1706412.25	1227445.375	2611677.375	31580664.0625	2511392.75	2397221.125	1978848.25	1945272.875	144726.125
Ae_bicornis	Ae_umbellulata	Ae_caudata	-1.6277687400486927	0.9482130432038978	0.9793438573400305	140539180.8125	10872558.875	13728024.25	2592583.6875	2747260.625	10532419.5625	2611677.375	2397221.125	1706412.25	31580664.0625	1978848.25	1227445.375	2511392.75	1945272.875	144726.125
Ae_caudata	Ae_bicornis	Ae_umbellulata	-1.5934361376027977	0.9444688062863146	-0.022020732858154878	140539180.8125	13728024.25	10532419.5625	1706412.25	1227445.375	10872558.875	2592583.6875	2747260.625	2611677.375	31580664.0625	2511392.75	2397221.125	1945272.875	1978848.25	144726.125
Ae_bicornis	Ae_caudata	Ae_uniaristata	-35.73104193253027	1.0	0.6385250264134257	195571911.1875	11077816.0	16144944.5	2591727.8125	2272499.0	11947052.75	3014346.1875	2427859.125	2267814.8125	44193871.125	2160887.375	1806464.0	3196569.0	2360132.375	158828.75
Ae_bicornis	Ae_uniaristata	Ae_caudata	27.3858158332365	0.0	0.6974032396592303	195571911.1875	16144944.5	11077816.0	2591727.8125	2272499.0	11947052.75	2267814.8125	1806464.0	3014346.1875	44193871.125	3196569.0	2427859.125	2160887.375	2360132.375	158828.75
Ae_caudata	Ae_bicornis	Ae_uniaristata	-99999.9	1.0	-3.2816146030547997	195571911.1875	11077816.0	11947052.75	3014346.1875	2427859.125	16144944.5	2591727.8125	2272499.0	2267814.8125	44193871.125	2160887.375	1806464.0	2360132.375	3196569.0	158828.75
Ae_bicornis	Ae_caudata	Er_bonaepartis	1.9730224470948334	0.02424643325396625	0.9899579075435878	47446095.0	4119301.4375	4104553.75	642875.0625	708261.25	3439587.0625	636214.125	474468.125	1292854.9375	10049265.875	991203.75	902973.5	763618.5	542256.25	54016.375
Ae_bicornis	Er_bonaepartis	Ae_caudata	-192.52918730057056	1.0	0.5025489178166713	47446095.0	4104553.75	4119301.4375	642875.0625	708261.25	3439587.0625	1292854.9375	902973.5	636214.125	10049265.875	763618.5	474468.125	991203.75	542256.25	54016.375
Ae_caudata	Ae_bicornis	Er_bonaepartis	-1.9530081882245078	0.9745907563951084	1.0103540205514314	47446095.0	4119301.4375	3439587.0625	636214.125	474468.125	4104553.75	642875.0625	708261.25	1292854.9375	10049265.875	991203.75	902973.5	542256.25	763618.5	54016.375
Ae_bicornis	Ae_caudata	S_vavilovii	47.907633195404344	0.0	0.7755537286384612	48060950.6875	3486426.75	4060727.0	746595.8125	748334.5	3665245.0	593129.1875	379432.625	1123419.1875	10519851.5	757648.125	942860.625	763109.125	696729.5	55023.375
Ae_bicornis	S_vavilovii	Ae_caudata	-117.6328470698714	1.0	0.5845906527395212	48060950.6875	4060727.0	3486426.75	746595.8125	748334.5	3665245.0	1123419.1875	942860.625	593129.1875	10519851.5	763109.125	379432.625	757648.125	696729.5	55023.375
Ae_caudata	Ae_bicornis	S_vavilovii	-34.043100999366956	1.0	1.6870919504335553	48060950.6875	3486426.75	3665245.0	593129.1875	379432.625	4060727.0	746595.8125	748334.5	1123419.1875	10519851.5	757648.125	942860.625	696729.5	763109.125	55023.375
Ae_bicornis	Ae_caudata	T_boeoticum	109.99192526817495	0.0	0.7921785059149666	80486634.25	121303567.0625	5815752.125	4686437.9375	8782308.875	6319085.1875	2946733.375	5549283.125	9578177.1875	17247112.875	18595524.625	668298.0	612064.875	836679.25	347290.25
Ae_bicornis	T_boeoticum	Ae_caudata	-309.2776955440088	1.0	0.5754871528580301	80486634.25	5815752.125	121303567.0625	4686437.9375	8782308.875	6319085.1875	9578177.1875	668298.0	2946733.375	17247112.875	612064.875	5549283.125	18595524.625	836679.25	347290.25
Ae_caudata	Ae_bicornis	T_boeoticum	-81.13645131143122	1.0	1.5519306527301662	80486634.25	121303567.0625	6319085.1875	2946733.375	5549283.125	5815752.125	4686437.9375	8782308.875	9578177.1875	17247112.875	18595524.625	668298.0	836679.25	612064.875	347290.25
Ae_bicornis	Ae_caudata	T_urartu	63.159754191274445	0.0	0.6679039022037886	193388527.9375	13668038.5	15595303.4375	3164876.5	3284921.875	14715759.5625	2339385.375	1489933.875	3999593.8125	42735966.0	3081106.0	3819166.75	2942055.0	2662853.25	205090.125
Ae_bicornis	T_urartu	Ae_caudata	-63.86566575952133	1.0	0.6654340064027958	193388527.9375	15595303.4375	13668038.5	3164876.5	3284921.875	14715759.5625	3999593.8125	3819166.75	2339385.375	42735966.0	2942055.0	1489933.875	3081106.0	2662853.25	205090.125
Ae_caudata	Ae_bicornis	T_urartu	-31.755374256553996	1.0	90.47261531374836	193388527.9375	13668038.5	14715759.5625	2339385.375	1489933.875	15595303.4375	3164876.5	3284921.875	3999593.8125	42735966.0	3081106.0	3819166.75	2662853.25	2942055.0	205090.125
Ae_bicornis	Ae_caudata	Ta_caputMedusae	6.513793252209463	3.682021354478593e-11	0.9398083472918254	48229775.8125	3496195.25	4136846.0	688761.6875	691454.0	3516071.875	666679.6875	449752.625	1011459.1875	10758073.875	669146.625	924959.875	823392.875	627382.5	50735.125
Ae_bicornis	Ta_caputMedusae	Ae_caudata	-95.18996458676115	1.0	0.5165413939356712	48229775.8125	4136846.0	3496195.25	688761.6875	691454.0	3516071.875	1011459.1875	924959.875	666679.6875	10758073.875	823392.875	449752.625	669146.625	627382.5	50735.125
Ae_caudata	Ae_bicornis	Ta_caputMedusae	-6.096606085932787	0.9999999994562079	1.0734559595230453	48229775.8125	3496195.25	3516071.875	666679.6875	449752.625	4136846.0	688761.6875	691454.0	1011459.1875	10758073.875	669146.625	924959.875	627382.5	823392.875	50735.125
Ae_bicornis	Ae_comosa	Ae_longissima	-99999.9	1.0	-0.3364140583036168	89923118.375	9515944.3125	7735225.9375	2249855.75	3288294.125	6632904.5625	1526460.5	884151.75	1344361.0	20465002.5625	1568792.0	1154204.625	1404341.875	1242808.0	108522.625
Ae_bicornis	Ae_longissima	Ae_comosa	27.279967785269054	0.0	0.16743330520550287	89923118.375	7735225.9375	9515944.3125	2249855.75	3288294.125	6632904.5625	1344361.0	1154204.625	1526460.5	20465002.5625	1404341.875	884151.75	1568792.0	1242808.0	108522.625
Ae_comosa	Ae_bicornis	Ae_longissima	-108.37041900728249	1.0	0.5558968070280988	89923118.375	9515944.3125	6632904.5625	1526460.5	884151.75	7735225.9375	2249855.75	3288294.125	1344361.0	20465002.5625	1568792.0	1154204.625	1242808.0	1404341.875	108522.625
Ae_bicornis	Ae_comosa	Ae_mutica	52.65230133716659	0.0	0.38754832006768664	124489514.75	8362491.75	12738997.5625	2438001.5625	2759498.125	9915690.5625	1689974.9375	935299.0	2163312.625	27957833.5	1678877.125	2059945.5	2215498.25	1901076.375	137740.375
Ae_bicornis	Ae_mutica	Ae_comosa	-99999.9	1.0	2.382787143135811	124489514.75	12738997.5625	8362491.75	2438001.5625	2759498.125	9915690.5625	2163312.625	2059945.5	1689974.9375	27957833.5	2215498.25	935299.0	1678877.125	1901076.375	137740.375
Ae_comosa	Ae_bicornis	Ae_mutica	-30.55536267907277	1.0	0.2685878142193617	124489514.75	8362491.75	9915690.5625	1689974.9375	935299.0	12738997.5625	2438001.5625	2759498.125	2163312.625	27957833.5	1678877.125	2059945.5	1901076.375	2215498.25	137740.375
Ae_bicornis	Ae_comosa	Ae_searsii	40.29691500420059	0.0	0.28579448022124204	78976494.9375	18466428.5	6796483.0	2267533.5625	3559308.75	5195610.4375	1557127.75	1593849.375	1841401.75	17451130.9375	3174003.875	488535.125	1147040.625	952751.875	120297.5
Ae_bicornis	Ae_searsii	Ae_comosa	-99999.9	1.0	-2.0039361596669196	78976494.9375	6796483.0	18466428.5	2267533.5625	3559308.75	5195610.4375	1841401.75	488535.125	1557127.75	17451130.9375	1147040.625	1593849.375	3174003.875	952751.875	120297.5
Ae_comosa	Ae_bicornis	Ae_searsii	-60.405796621915584	1.0	0.374938588152768	78976494.9375	18466428.5	5195610.4375	1557127.75	1593849.375	6796483.0	2267533.5625	3559308.75	1841401.75	17451130.9375	3174003.875	488535.125	952751.875	1147040.625	120297.5
Ae_bicornis	Ae_comosa	Ae_sharonensis	-99999.9	1.0	1.273890169726821	62062727.6875	4486132.6875	6035494.6875	1216625.8125	1615467.375	4419976.75	1141062.75	580777.625	789611.5	14158363.0	794037.875	796619.125	1152445.875	827754.25	62621.0
Ae_bicornis	Ae_sharonensis	Ae_comosa	71.92095648611975	0.0	0.45146666330535334	62062727.6875	6035494.6875	4486132.6875	1216625.8125	1615467.375	4419976.75	789611.5	796619.125	1141062.75	14158363.0	1152445.875	580777.625	794037.875	827754.25	62621.0
Ae_comosa	Ae_bicornis	Ae_sharonensis	-15.463219237434625	1.0	0.8496488973464036	62062727.6875	4486132.6875	4419976.75	1141062.75	580777.625	6035494.6875	1216625.8125	1615467.375	789611.5	14158363.0	794037.875	796619.125	827754.25	1152445.875	62621.0
Ae_bicornis	Ae_comosa	Ae_speltoides	60.847905186040805	0.0	0.38290791344675273	121764440.0	10203562.0	11847463.3125	2586609.5625	3270159.375	9537315.4375	1689718.9375	1055271.375	2246242.875	27054878.625	2042612.5	1842645.125	2073114.375	1754505.625	144154.875
Ae_bicornis	Ae_speltoides	Ae_comosa	-99999.9	1.0	2.5746253595472743	121764440.0	11847463.3125	10203562.0	2586609.5625	3270159.375	9537315.4375	2246242.875	1842645.125	1689718.9375	27054878.625	2073114.375	1055271.375	2042612.5	1754505.625	144154.875
Ae_comosa	Ae_bicornis	Ae_speltoides	-37.21421224488984	1.0	0.2750977376017731	121764440.0	10203562.0	9537315.4375	1689718.9375	1055271.375	11847463.3125	2586609.5625	3270159.375	2246242.875	27054878.625	2042612.5	1842645.125	1754505.625	2073114.375	144154.875
Ae_bicornis	Ae_comosa	Ae_tauschii	15.228018013850209	0.0	0.12154603512869698	123509451.0	9630187.0625	11831817.625	2700961.4375	3318329.125	9351683.6875	1735151.375	1171312.875	1868784.3125	27961994.75	1750819.375	1739355.875	1995283.5	1809155.375	136457.625
Ae_bicornis	Ae_tauschii	Ae_comosa	-99999.9	1.0	-0.1913020534581429	123509451.0	11831817.625	9630187.0625	2700961.4375	3318329.125	9351683.6875	1868784.3125	1739355.875	1735151.375	27961994.75	1995283.5	1171312.875	1750819.375	1809155.375	136457.625
Ae_comosa	Ae_bicornis	Ae_tauschii	-94.82997595719284	1.0	0.46283818415697137	123509451.0	9630187.0625	9351683.6875	1735151.375	1171312.875	11831817.625	2700961.4375	3318329.125	1868784.3125	27961994.75	1750819.375	1739355.875	1809155.375	1995283.5	136457.625
Ae_bicornis	Ae_comosa	Ae_umbellulata	48.77636562315981	0.0	0.2685350911045859	91945501.9375	7925013.625	8822546.0625	2093053.25	2565204.125	7251923.5	1233504.8125	804651.125	1549061.875	20655680.5625	1453072.75	1443281.625	1474302.125	1391857.0	106501.625
Ae_bicornis	Ae_umbellulata	Ae_comosa	-99999.9	1.0	-1.3813908210483925	91945501.9375	8822546.0625	7925013.625	2093053.25	2565204.125	7251923.5	1549061.875	1443281.625	1233504.8125	20655680.5625	1474302.125	804651.125	1453072.75	1391857.0	106501.625
Ae_comosa	Ae_bicornis	Ae_umbellulata	-84.08597162310531	1.0	0.3875852826939314	91945501.9375	7925013.625	7251923.5	1233504.8125	804651.125	8822546.0625	2093053.25	2565204.125	1549061.875	20655680.5625	1453072.75	1443281.625	1391857.0	1474302.125	106501.625
Ae_bicornis	Ae_comosa	Ae_uniaristata	-13.880464743636868	1.0	0.869719327842509	126817893.625	6809134.875	13901492.9375	2048189.8125	1768114.75	8227598.375	2178140.5	1716961.375	1310624.0625	28850135.0625	1280184.125	1153336.0	2478892.625	1648738.875	111418.0
Ae_bicornis	Ae_uniaristata	Ae_comosa	78.78184860691196	0.0	0.5404810073004439	126817893.625	13901492.9375	6809134.875	2048189.8125	1768114.75	8227598.375	1310624.0625	1153336.0	2178140.5	28850135.0625	2478892.625	1716961.375	1280184.125	1648738.875	111418.0
Ae_comosa	Ae_bicornis	Ae_uniaristata	-99999.9	1.0	1.2138700890088616	126817893.625	6809134.875	8227598.375	2178140.5	1716961.375	13901492.9375	2048189.8125	1768114.75	1310624.0625	28850135.0625	1280184.125	1153336.0	1648738.875	2478892.625	111418.0
Ae_bicornis	Ae_comosa	Er_bonaepartis	44.691026104306545	0.0	0.7720683028662871	30912151.5625	2475332.5	3343792.0	533570.5625	626475.625	2413370.375	434649.6875	295472.125	769722.3125	6592987.375	584543.0	528088.5	552053.125	418077.375	38216.875
Ae_bicornis	Er_bonaepartis	Ae_comosa	-106.68995825024454	1.0	0.5865867068435237	30912151.5625	3343792.0	2475332.5	533570.5625	626475.625	2413370.375	769722.3125	528088.5	434649.6875	6592987.375	552053.125	295472.125	584543.0	418077.375	38216.875
Ae_comosa	Ae_bicornis	Er_bonaepartis	-31.497243392615758	1.0	1.7208354169570075	30912151.5625	2475332.5	2413370.375	434649.6875	295472.125	3343792.0	533570.5625	626475.625	769722.3125	6592987.375	584543.0	528088.5	418077.375	552053.125	38216.875
Ae_bicornis	Ae_comosa	S_vavilovii	52.696786471198735	0.0	0.6824761163151514	31200415.0	2174799.9375	3431422.3125	562018.5	609185.0	2519469.25	443715.3125	253829.0	697992.5625	6848924.875	487887.625	576017.375	603453.5	485635.875	39111.875
Ae_bicornis	S_vavilovii	Ae_comosa	-60.568073342773864	1.0	0.6515730808720854	31200415.0	3431422.3125	2174799.9375	562018.5	609185.0	2519469.25	697992.5625	576017.375	443715.3125	6848924.875	603453.5	253829.0	487887.625	485635.875	39111.875
Ae_comosa	Ae_bicornis	S_vavilovii	-28.179462131134144	1.0	7.694812084857145	31200415.0	2174799.9375	2519469.25	443715.3125	253829.0	3431422.3125	562018.5	609185.0	697992.5625	6848924.875	487887.625	576017.375	485635.875	603453.5	39111.875
Ae_bicornis	Ae_comosa	T_boeoticum	168.92697134428565	0.0	0.6618668750843533	52582351.75	77476293.875	4833491.125	4081805.75	7718820.75	4372510.625	2030249.5	3851343.25	6045996.625	11259247.5	11754082.0	446274.125	411098.625	637974.625	260520.875
Ae_bicornis	T_boeoticum	Ae_comosa	-161.7332284483218	1.0	0.6715365819846293	52582351.75	4833491.125	77476293.875	4081805.75	7718820.75	4372510.625	6045996.625	446274.125	2030249.5	11259247.5	411098.625	3851343.25	11754082.0	637974.625	260520.875
Ae_comosa	Ae_bicornis	T_boeoticum	-82.62592372666703	1.0	-22.482486625851532	52582351.75	77476293.875	4372510.625	2030249.5	3851343.25	4833491.125	4081805.75	7718820.75	6045996.625	11259247.5	11754082.0	446274.125	637974.625	411098.625	260520.875
Ae_bicornis	Ae_comosa	T_urartu	70.59733619613269	0.0	0.4740902038550912	126073708.0625	8012147.9375	12820903.1875	2496774.6875	2862230.875	10148923.75	1686331.75	977985.5	2416919.125	27923128.875	1847362.25	2336648.375	2213140.375	1893872.875	146282.375
Ae_bicornis	T_urartu	Ae_comosa	-99999.9	1.0	1.1227165492235713	126073708.0625	12820903.1875	8012147.9375	2496774.6875	2862230.875	10148923.75	2416919.125	2336648.375	1686331.75	27923128.875	2213140.375	977985.5	1847362.25	1893872.875	146282.375
Ae_comosa	Ae_bicornis	T_urartu	-7.7165171283500325	0.999999999999994	0.08969526793541718	126073708.0625	8012147.9375	10148923.75	1686331.75	977985.5	12820903.1875	2496774.6875	2862230.875	2416919.125	27923128.875	1847362.25	2336648.375	1893872.875	2213140.375	146282.375
Ae_bicornis	Ae_comosa	Ta_caputMedusae	43.18782357180604	0.0	0.5515077206823461	31414032.8125	2041446.1875	3378467.0	570098.75	641180.0	2449991.8125	465413.8125	275825.375	594144.125	7039788.125	389421.5	538155.75	615441.25	458348.5	35878.0
